dataset,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,validation_debt_cost,debt_adjusted_utility,meets_false_constraint
BigVul,risk_score,Risk score,6.4,2091,4121,2341,6212,4432,8000,0.4717960288808664,0.515125,0.33660656793303284,0.4996782496782497,1.702409905263696,-1.2306138763828296,False
BigVul,risk_score,Risk score,6.3,2095,4123,2337,6218,4432,8000,0.4726985559566787,0.515375,0.3369250562881956,0.5001608751608752,1.702958404768874,-1.2302598488121952,False
BigVul,risk_score,Risk score,6.2,2114,4155,2318,6269,4432,8000,0.476985559566787,0.519375,0.3372148668049131,0.5042631917631918,1.7140917696964628,-1.2371062101296757,False
BigVul,risk_score,Risk score,6.1,2130,4180,2302,6310,4432,8000,0.4805956678700361,0.5225,0.3375594294770206,0.5075611325611326,1.7227291396605475,-1.2421334717905115,False
BigVul,risk_score,Risk score,6.0,2133,4187,2299,6320,4432,8000,0.4812725631768953,0.523375,0.3375,0.5083655083655083,1.7252251346240517,-1.2439525714471564,False
BigVul,risk_score,Risk score,5.9,2135,4189,2297,6324,4432,8000,0.48172382671480146,0.523625,0.33760278304870334,0.5086872586872587,1.7258784062556627,-1.2441545795408613,False
BigVul,risk_score,Risk score,5.8,2171,4253,2261,6424,4432,8000,0.48984657039711194,0.531625,0.33795143212951434,0.5167310167310167,1.7482499082372729,-1.258403337840161,False
BigVul,risk_score,Risk score,5.7,2172,4253,2260,6425,4432,8000,0.490072202166065,0.531625,0.3380544747081712,0.5168114543114544,1.7481975221740567,-1.2581253200079914,False
BigVul,risk_score,Risk score,5.6,2177,4261,2255,6438,4432,8000,0.4912003610108303,0.532625,0.33814849332090713,0.5178571428571429,1.7509677668901498,-1.2597674058793196,False
BigVul,risk_score,Risk score,5.5,2181,4272,2251,6453,4432,8000,0.4921028880866426,0.534,0.3379823337982334,0.5190637065637066,1.7549274633065248,-1.2628245752198821,False
BigVul,risk_score,Risk score,5.4,2199,4310,2233,6509,4432,8000,0.49616425992779783,0.53875,0.33783991396527885,0.523568211068211,1.7683873455714612,-1.2722230856436634,False
BigVul,risk_score,Risk score,5.2,2204,4319,2228,6523,4432,8000,0.4972924187725632,0.539875,0.33788134294036487,0.5246943371943372,1.771536612166576,-1.274244193394013,False
BigVul,risk_score,Risk score,5.1,2217,4337,2215,6554,4432,8000,0.5002256317689531,0.542125,0.33826670735428743,0.5271879021879022,1.7776779871671566,-1.2774523553982036,False
BigVul,risk_score,Risk score,5.0,2673,5247,1759,7920,4432,8000,0.6031137184115524,0.655875,0.3375,0.637065637065637,2.0986998522503937,-1.4955861338388414,False
BigVul,risk_score,Risk score,4.9,2895,5725,1537,8620,4432,8000,0.6532039711191335,0.715625,0.33584686774941996,0.6933719433719434,2.2682426043888135,-1.61503863326968,False
BigVul,risk_score,Risk score,4.7,2941,5794,1491,8735,4432,8000,0.6635830324909747,0.72425,0.33669147109330283,0.7026222651222651,2.2919853551333693,-1.6284023226423945,False
BigVul,risk_score,Risk score,4.6,3021,5934,1411,8955,4432,8000,0.6816335740072202,0.74175,0.3373534338358459,0.7203185328185329,2.3408575331391215,-1.6592239591319013,False
BigVul,risk_score,Risk score,4.4,3035,5967,1397,9002,4432,8000,0.6847924187725631,0.745875,0.3371473005998667,0.7240990990990991,2.352631850261814,-1.667839431489251,False
BigVul,risk_score,Risk score,4.3,3769,7345,663,11114,4432,8000,0.8504061371841155,0.918125,0.3391218283246356,0.893983268983269,2.8364726291531346,-1.986066491969019,False
BigVul,risk_score,Risk score,4.0,3813,7436,619,11249,4432,8000,0.8603339350180506,0.9295,0.3389634634189706,0.9048423423423423,2.868658633362604,-2.0083246983445537,False
BigVul,risk_score,Risk score,3.8,3814,7436,618,11250,4432,8000,0.8605595667870036,0.9295,0.3390222222222222,0.9049227799227799,2.8686062472993883,-2.0080466805123844,False
BigVul,risk_score,Risk score,3.7,3817,7441,615,11258,4432,8000,0.8612364620938628,0.930125,0.3390477882394742,0.9055662805662805,2.8703441985048483,-2.0091077364109857,False
BigVul,risk_score,Risk score,3.6,3838,7479,594,11317,4432,8000,0.8659747292418772,0.934875,0.3391358133781037,0.9103120978120978,2.8836469225801356,-2.0176721933382584,False
BigVul,risk_score,Risk score,3.5,3846,7492,586,11338,4432,8000,0.8677797833935018,0.9365,0.33921326512612454,0.912001287001287,2.8881551185016887,-2.020375335108187,False
BigVul,risk_score,Risk score,3.3,3857,7508,575,11365,4432,8000,0.8702617328519856,0.9385,0.339375274967004,0.9141731016731016,2.8936432218706587,-2.023381489018673,False
BigVul,risk_score,Risk score,2.9,3860,7513,572,11373,4432,8000,0.8709386281588448,0.939125,0.33940033412468124,0.9148166023166023,2.895381173076119,-2.0244425449172745,False
BigVul,risk_score,Risk score,2.6,3873,7542,559,11415,4432,8000,0.8738718411552346,0.94275,0.3392904073587385,0.9181949806949807,2.9056917887459397,-2.0318199475907055,False
BigVul,risk_score,Risk score,2.3,3874,7542,558,11416,4432,8000,0.8740974729241877,0.94275,0.33934828311142257,0.9182754182754183,2.9056394026827235,-2.0315419297585358,False
BigVul,risk_score,Risk score,2.1,4024,7820,408,11844,4432,8000,0.907942238267148,0.9775,0.3397500844309355,0.9527027027027027,3.003149575568348,-2.0952073373012,False
BigVul,risk_score,Risk score,1.9,4070,7920,362,11990,4432,8000,0.9183212996389891,0.99,0.3394495412844037,0.9644465894465895,3.0386420045625817,-2.120320704923593,False
BigVul,risk_score,Risk score,1.7,4072,7921,360,11993,4432,8000,0.9187725631768953,0.990125,0.3395313933127658,0.9646879021879022,3.0389162543151715,-2.120143691138276,False
BigVul,risk_score,Risk score,1.2,4074,7926,358,12000,4432,8000,0.9192238267148014,0.99075,0.3395,0.9652509652509652,3.0407065915838474,-2.121482764869046,False
BigVul,risk_score,Risk score,0.0,4114,8000,318,12114,4432,8000,0.9282490974729242,1.0,0.3396070662043916,0.9744208494208494,3.066658768102811,-2.138409670629887,False
BigVul,coverage_only,Coverage only,1.0,1,0,4431,1,4432,8000,0.0002256317689530686,0.0,1.0,8.043758043758043e-05,0.2499476139367836,-0.24972198216783054,True
BigVul,coverage_only,Coverage only,0.8888888888888888,19,0,4413,19,4432,8000,0.0042870036101083035,0.0,1.0,0.0015283140283140282,0.24900466479888864,-0.24471766118878033,True
BigVul,coverage_only,Coverage only,0.8571428571428571,82,0,4350,82,4432,8000,0.018501805054151624,0.0,1.0,0.006595881595881596,0.24570434281625617,-0.22720253776210456,True
BigVul,coverage_only,Coverage only,0.84,85,0,4347,85,4432,8000,0.01917870036101083,0.0,1.0,0.006837194337194337,0.245547184626607,-0.22636848426559616,True
BigVul,coverage_only,Coverage only,0.8125,91,0,4341,91,4432,8000,0.020532490974729242,0.0,1.0,0.00731981981981982,0.2452328682473087,-0.22470037727257947,True
BigVul,coverage_only,Coverage only,0.7692307692307693,105,0,4327,105,4432,8000,0.023691335740072202,0.0,1.0,0.008445945945945946,0.24449946336227923,-0.22080812762220703,True
BigVul,coverage_only,Coverage only,0.7333333333333333,121,0,4311,121,4432,8000,0.0273014440433213,0.0,1.0,0.009732947232947233,0.24366128635081705,-0.21635984230749575,True
BigVul,coverage_only,Coverage only,0.7142857142857143,126,0,4306,126,4432,8000,0.028429602888086644,0.0,1.0,0.010135135135135136,0.24339935603473511,-0.21496975314664846,True
BigVul,coverage_only,Coverage only,0.7,135,0,4297,135,4432,8000,0.03046028880866426,0.0,1.0,0.01085907335907336,0.24292788146578762,-0.21246759265712337,True
BigVul,coverage_only,Coverage only,0.6842105263157895,144,0,4288,144,4432,8000,0.032490974729241874,0.0,1.0,0.011583011583011582,0.24245640689684012,-0.20996543216759825,True
BigVul,coverage_only,Coverage only,0.6521739130434783,169,0,4263,169,4432,8000,0.03813176895306859,0.0,1.0,0.013593951093951093,0.2411467553164304,-0.2030149863633618,True
BigVul,coverage_only,Coverage only,0.6428571428571429,174,0,4258,174,4432,8000,0.03925992779783394,0.0,1.0,0.013996138996138996,0.24088482500034847,-0.20162489720251453,True
BigVul,coverage_only,Coverage only,0.625,187,3,4245,190,4432,8000,0.04219314079422383,0.000375,0.9842105263157894,0.015283140283140283,0.24134087181560104,-0.19914773102137723,True
BigVul,coverage_only,Coverage only,0.6,199,3,4233,202,4432,8000,0.04490072202166065,0.000375,0.9851485148514851,0.01624839124839125,0.2407122390570044,-0.19581151703534377,True
BigVul,coverage_only,Coverage only,0.5909090909090909,205,3,4227,208,4432,8000,0.04625451263537906,0.000375,0.9855769230769231,0.01673101673101673,0.24039792267770607,-0.19414341004232702,True
BigVul,coverage_only,Coverage only,0.5806451612903226,211,3,4221,214,4432,8000,0.04760830324909747,0.000375,0.985981308411215,0.017213642213642213,0.24008360629840772,-0.19247530304931026,True
BigVul,coverage_only,Coverage only,0.5714285714285714,227,3,4205,230,4432,8000,0.05121841155234657,0.000375,0.9869565217391304,0.0185006435006435,0.23924542928694553,-0.18802701773459898,True
BigVul,coverage_only,Coverage only,0.5652173913043478,231,3,4201,234,4432,8000,0.05212093862815884,0.000375,0.9871794871794872,0.018822393822393823,0.23903588503407996,-0.18691494640592113,True
BigVul,coverage_only,Coverage only,0.5588235294117647,241,3,4191,244,4432,8000,0.05437725631768953,0.000375,0.9877049180327869,0.019626769626769628,0.2385120244019161,-0.18413476808422657,True
BigVul,coverage_only,Coverage only,0.5454545454545454,266,4,4166,270,4432,8000,0.060018050541516245,0.0005,0.9851851851851852,0.02171814671814672,0.23758139470052828,-0.17756334415901204,True
BigVul,coverage_only,Coverage only,0.5384615384615384,276,4,4156,280,4432,8000,0.06227436823104693,0.0005,0.9857142857142858,0.02252252252252252,0.23705753406836438,-0.17478316583731746,True
BigVul,coverage_only,Coverage only,0.53125,284,4,4148,288,4432,8000,0.06407942238267147,0.0005,0.9861111111111112,0.023166023166023165,0.23663844556263328,-0.1725590231799618,True
