mode,trial,policy,n_pairs,false_admissions,false_admission_rate
same_category_different_cve,52,mddc_strict,1500,197,0.13133333333333333
any_deranged,53,structural_only,1500,1204,0.8026666666666666
any_deranged,53,category_gate,1500,524,0.34933333333333333
any_deranged,53,mddc_strict,1500,98,0.06533333333333333
cross_category,53,structural_only,1500,1197,0.798
cross_category,53,category_gate,1500,509,0.3393333333333333
cross_category,53,mddc_strict,1500,102,0.068
same_category_different_cve,53,structural_only,1500,1243,0.8286666666666667
same_category_different_cve,53,category_gate,1500,976,0.6506666666666666
same_category_different_cve,53,mddc_strict,1500,210,0.14
any_deranged,54,structural_only,1500,1203,0.802
any_deranged,54,category_gate,1500,508,0.33866666666666667
any_deranged,54,mddc_strict,1500,80,0.05333333333333334
cross_category,54,structural_only,1500,1203,0.802
cross_category,54,category_gate,1500,523,0.3486666666666667
cross_category,54,mddc_strict,1500,88,0.058666666666666666
same_category_different_cve,54,structural_only,1500,1228,0.8186666666666667
same_category_different_cve,54,category_gate,1500,973,0.6486666666666666
same_category_different_cve,54,mddc_strict,1500,229,0.15266666666666667
any_deranged,55,structural_only,1500,1211,0.8073333333333333
any_deranged,55,category_gate,1500,541,0.3606666666666667
any_deranged,55,mddc_strict,1500,96,0.064
cross_category,55,structural_only,1500,1207,0.8046666666666666
cross_category,55,category_gate,1500,484,0.32266666666666666
cross_category,55,mddc_strict,1500,83,0.05533333333333333
same_category_different_cve,55,structural_only,1500,1233,0.822
same_category_different_cve,55,category_gate,1500,978,0.652
same_category_different_cve,55,mddc_strict,1500,202,0.13466666666666666
any_deranged,56,structural_only,1500,1217,0.8113333333333334
any_deranged,56,category_gate,1500,528,0.352
any_deranged,56,mddc_strict,1500,96,0.064
cross_category,56,structural_only,1500,1180,0.7866666666666666
cross_category,56,category_gate,1500,497,0.3313333333333333
cross_category,56,mddc_strict,1500,87,0.058
same_category_different_cve,56,structural_only,1500,1243,0.8286666666666667
same_category_different_cve,56,category_gate,1500,988,0.6586666666666666
