dataset,false_cost,miss_cost,review_cost,alpha,selected_policy,selected_policy_label,threshold,recall,false_admission_rate,precision,review_rate,utility
BigVul,0.5,0.1,0.1,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5813805089579005
BigVul,0.5,0.1,0.1,0.3,coverage_only,Coverage only,0.0888888888888888,0.7547382671480144,0.214625,0.6608060055314106,0.4071750321750321,0.5821820906453126
BigVul,0.5,0.1,0.2,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5030754292520989
BigVul,0.5,0.1,0.2,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5381675273778161
BigVul,0.5,0.1,0.2,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.5427438986498103
BigVul,0.5,0.1,0.2,0.2,coverage_only,Coverage only,0.1052631578947368,0.7222472924187726,0.158625,0.7161073825503356,0.3595559845559845,0.5432483247494531
BigVul,0.5,0.1,0.2,0.3,coverage_only,Coverage only,0.1052631578947368,0.7222472924187726,0.158625,0.7161073825503356,0.3595559845559845,0.5432483247494531
BigVul,0.5,0.25,0.0,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.4958449909747292
BigVul,0.5,0.25,0.0,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5498691335740071
BigVul,0.5,0.25,0.0,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.5697822653429603
BigVul,0.5,0.25,0.0,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5827678249097472
BigVul,0.5,0.25,0.0,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.589817915162455
BigVul,0.5,0.25,0.02,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.4908144246941629
BigVul,0.5,0.25,0.02,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5438524025572761
BigVul,0.5,0.25,0.02,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.5627970658577608
BigVul,0.5,0.25,0.02,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5748752895172118
BigVul,0.5,0.25,0.02,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.5811933977879375
BigVul,0.5,0.25,0.05,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.4832685752733135
BigVul,0.5,0.25,0.05,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5348273060321795
BigVul,0.5,0.25,0.05,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.5523192666299616
BigVul,0.5,0.25,0.05,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5630364864284088
BigVul,0.5,0.25,0.05,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.5682566217261615
BigVul,0.5,0.25,0.1,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.4706921595718978
BigVul,0.5,0.25,0.1,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5197854784903521
BigVul,0.5,0.25,0.1,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.5348562679169628
BigVul,0.5,0.25,0.1,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5433051479470703
BigVul,0.5,0.25,0.1,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.5466953282898681
BigVul,0.5,0.25,0.2,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.44553932816906644
BigVul,0.5,0.25,0.2,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.489701823406697
BigVul,0.5,0.25,0.2,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.49993027049096544
BigVul,0.5,0.25,0.2,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5038424709843933
BigVul,0.5,0.25,0.2,0.3,coverage_only,Coverage only,0.0888888888888888,0.7547382671480144,0.214625,0.6608060055314106,0.4071750321750321,0.5046753275000115
BigVul,0.5,0.5,0.0,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.3999514891696751
BigVul,0.5,0.5,0.0,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.4690929602888086
BigVul,0.5,0.5,0.0,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.4984262184115524
BigVul,0.5,0.5,0.0,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5193088898916967
BigVul,0.5,0.5,0.0,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.5344864620938629
BigVul,0.5,0.5,0.02,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.3949209228891088
BigVul,0.5,0.5,0.02,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.4630762292720776
BigVul,0.5,0.5,0.02,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.4914410189263529
BigVul,0.5,0.5,0.02,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.5114163544991612
BigVul,0.5,0.5,0.02,0.3,coverage_only,Coverage only,0.073170731707317,0.7824909747292419,0.2785,0.6088483146067416,0.4581724581724581,0.5253230129304137
