mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
cross_category,162,1500,1499,784,137
same_category_different_cve,162,1500,1499,988,232
any_deranged,163,1500,1380,728,149
cross_category,163,1500,1499,756,138
same_category_different_cve,163,1500,1499,1014,213
any_deranged,164,1500,1389,716,125
cross_category,164,1500,1499,758,124
same_category_different_cve,164,1500,1499,994,228
any_deranged,165,1500,1375,757,141
cross_category,165,1500,1500,728,140
same_category_different_cve,165,1500,1498,991,214
any_deranged,166,1500,1407,748,142
cross_category,166,1500,1499,809,145
same_category_different_cve,166,1500,1498,976,230
any_deranged,167,1500,1396,723,118
cross_category,167,1500,1500,740,128
same_category_different_cve,167,1500,1498,978,226
any_deranged,168,1500,1392,759,133
cross_category,168,1500,1498,743,138
same_category_different_cve,168,1500,1500,999,208
any_deranged,169,1500,1389,744,134
cross_category,169,1500,1499,764,117
same_category_different_cve,169,1500,1500,1008,194
any_deranged,170,1500,1385,731,156
cross_category,170,1500,1500,746,149
same_category_different_cve,170,1500,1498,1004,231
any_deranged,171,1500,1421,709,128
cross_category,171,1500,1496,703,141
same_category_different_cve,171,1500,1500,983,207
any_deranged,172,1500,1395,722,128
cross_category,172,1500,1499,747,122
same_category_different_cve,172,1500,1498,1009,195
any_deranged,173,1500,1395,750,130
cross_category,173,1500,1500,760,135
same_category_different_cve,173,1500,1497,979,231
any_deranged,174,1500,1393,744,142
cross_category,174,1500,1499,720,124
same_category_different_cve,174,1500,1499,974,185
any_deranged,175,1500,1411,765,136
cross_category,175,1500,1500,727,112
same_category_different_cve,175,1500,1500,992,232
any_deranged,176,1500,1394,762,128
cross_category,176,1500,1499,731,131
same_category_different_cve,176,1500,1497,973,225
any_deranged,177,1500,1387,740,134
cross_category,177,1500,1500,743,122
same_category_different_cve,177,1500,1498,994,206
any_deranged,178,1500,1417,760,134
cross_category,178,1500,1500,765,135
same_category_different_cve,178,1500,1500,972,224
any_deranged,179,1500,1411,712,139
cross_category,179,1500,1498,733,136
same_category_different_cve,179,1500,1499,986,189
any_deranged,180,1500,1406,738,143
cross_category,180,1500,1498,753,138
same_category_different_cve,180,1500,1497,997,200
any_deranged,181,1500,1379,719,129
cross_category,181,1500,1500,747,132
same_category_different_cve,181,1500,1497,990,239
any_deranged,182,1500,1404,739,124
cross_category,182,1500,1497,755,147
same_category_different_cve,182,1500,1499,984,213
any_deranged,183,1500,1393,759,144
cross_category,183,1500,1499,758,141
same_category_different_cve,183,1500,1500,982,205
any_deranged,184,1500,1386,742,137
cross_category,184,1500,1499,750,139
same_category_different_cve,184,1500,1500,964,212
any_deranged,185,1500,1393,717,128
cross_category,185,1500,1500,752,129
same_category_different_cve,185,1500,1498,996,217
any_deranged,186,1500,1403,734,116
cross_category,186,1500,1498,749,152
same_category_different_cve,186,1500,1498,953,195
any_deranged,187,1500,1403,753,134
cross_category,187,1500,1499,756,127
same_category_different_cve,187,1500,1500,970,199
any_deranged,188,1500,1380,708,146
cross_category,188,1500,1500,757,141
same_category_different_cve,188,1500,1498,972,201
any_deranged,189,1500,1379,729,123
cross_category,189,1500,1500,745,133
same_category_different_cve,189,1500,1499,977,186
any_deranged,190,1500,1395,728,132
cross_category,190,1500,1498,739,137
same_category_different_cve,190,1500,1500,1004,214
any_deranged,191,1500,1393,751,137
cross_category,191,1500,1500,689,121
same_category_different_cve,191,1500,1500,990,239
any_deranged,192,1500,1410,736,137
cross_category,192,1500,1500,724,137
same_category_different_cve,192,1500,1497,990,200
any_deranged,193,1500,1388,735,135
cross_category,193,1500,1500,736,143
same_category_different_cve,193,1500,1499,1019,209
any_deranged,194,1500,1391,725,124
cross_category,194,1500,1500,761,140
same_category_different_cve,194,1500,1499,1009,229
any_deranged,195,1500,1401,717,129
cross_category,195,1500,1500,758,119
same_category_different_cve,195,1500,1500,968,202
any_deranged,196,1500,1400,756,141
cross_category,196,1500,1497,746,129
same_category_different_cve,196,1500,1498,1001,195
any_deranged,197,1500,1404,752,144
cross_category,197,1500,1500,705,147
same_category_different_cve,197,1500,1500,985,226
any_deranged,198,1500,1384,714,124
cross_category,198,1500,1500,714,119
same_category_different_cve,198,1500,1499,984,211
any_deranged,199,1500,1400,716,118
cross_category,199,1500,1497,746,134
same_category_different_cve,199,1500,1499,957,219
