negative_mode,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,debt_adjusted_utility,meets_false_constraint
same_cwe_different_cve,risk_only,Risk only,0.413652,5479,5479,475,10958,5954,5954,0.9202216996976822,0.9202216996976822,0.5,0.9202216996976822,-1.9063990594558278,False
same_cwe_different_cve,risk_only,Risk only,0.40803200000000006,5531,5531,423,11062,5954,5954,0.9289553241518307,0.9289553241518307,0.5,0.9289553241518307,-1.922119583473295,False
same_cwe_different_cve,risk_only,Risk only,0.39792800000000006,5572,5572,382,11144,5954,5954,0.9358414511252939,0.9358414511252939,0.5,0.9358414511252939,-1.9345146120255292,False
same_cwe_different_cve,risk_only,Risk only,0.389124,5620,5620,334,11240,5954,5954,0.9439032583137387,0.9439032583137387,0.5,0.9439032583137387,-1.9490258649647298,False
same_cwe_different_cve,risk_only,Risk only,0.377684,5657,5657,297,11314,5954,5954,0.9501175680214982,0.9501175680214982,0.5,0.9501175680214982,-1.960211622438697,False
same_cwe_different_cve,risk_only,Risk only,0.35961200000000004,5711,5711,243,11422,5954,5954,0.9591871011084985,0.9591871011084985,0.5,0.9591871011084985,-1.9765367819952973,False
same_cwe_different_cve,risk_only,Risk only,0.34024,5755,5755,199,11510,5954,5954,0.9665770910312395,0.9665770910312395,0.5,0.9665770910312395,-1.989838763856231,False
same_cwe_different_cve,risk_only,Risk only,0.294476,5798,5798,156,11596,5954,5954,0.9737991266375546,0.9737991266375546,0.5,0.9737991266375546,-2.0028384279475984,False
same_cwe_different_cve,risk_only,Risk only,0.254332,5857,5857,97,11714,5954,5954,0.9837084313066846,0.9837084313066846,0.5,0.9837084313066846,-2.0206751763520323,False
same_cwe_different_cve,risk_only,Risk only,0.224176,5903,5903,51,11806,5954,5954,0.9914343298622774,0.9914343298622774,0.5,0.9914343298622774,-2.0345817937520994,False
same_cwe_different_cve,risk_only,Risk only,0.184456,5946,5946,8,11892,5954,5954,0.9986563654685925,0.9986563654685925,0.5,0.9986563654685925,-2.0475814578434663,False
same_cwe_different_cve,risk_only,Risk only,0.184424,5954,5954,0,11908,5954,5954,1.0,1.0,0.5,1.0,-2.05,False
same_cwe_different_cve,coverage_only,Coverage only,1.0,4059,0,1895,4059,5954,5954,0.6817265703728586,0.0,1.0,0.3408632851864293,0.5851150487067517,True
same_cwe_different_cve,coverage_only,Coverage only,0.9934640522875817,4074,0,1880,4074,5954,5954,0.6842458851192476,0.0,1.0,0.3421229425596238,0.5882012092710782,True
same_cwe_different_cve,coverage_only,Coverage only,0.9928571428571429,4091,0,1863,4091,5954,5954,0.6871011084984884,0.0,1.0,0.3435505542492442,0.5916988579106484,True
