dataset,trial,policy,control_mode,n_pairs,false_admissions,false_admission_rate
CVEfixes,39,random_at_mddc_recall,same_category_different_cve,1500,745,0.49666666666666665
CVEfixes,40,mddc_strict_gate,same_category_different_cve,1500,223,0.14866666666666667
CVEfixes,40,risk_score_tuned,same_category_different_cve,1500,744,0.496
CVEfixes,40,coverage_only_tuned,same_category_different_cve,1500,109,0.07266666666666667
CVEfixes,40,random_at_mddc_recall,same_category_different_cve,1500,752,0.5013333333333333
CVEfixes,41,mddc_strict_gate,same_category_different_cve,1500,225,0.15
CVEfixes,41,risk_score_tuned,same_category_different_cve,1500,721,0.4806666666666667
CVEfixes,41,coverage_only_tuned,same_category_different_cve,1500,70,0.04666666666666667
CVEfixes,41,random_at_mddc_recall,same_category_different_cve,1500,736,0.49066666666666664
CVEfixes,42,mddc_strict_gate,same_category_different_cve,1500,195,0.13
CVEfixes,42,risk_score_tuned,same_category_different_cve,1500,768,0.512
CVEfixes,42,coverage_only_tuned,same_category_different_cve,1500,63,0.042
CVEfixes,42,random_at_mddc_recall,same_category_different_cve,1500,780,0.52
CVEfixes,43,mddc_strict_gate,same_category_different_cve,1500,217,0.14466666666666667
CVEfixes,43,risk_score_tuned,same_category_different_cve,1500,769,0.5126666666666667
CVEfixes,43,coverage_only_tuned,same_category_different_cve,1500,77,0.051333333333333335
CVEfixes,43,random_at_mddc_recall,same_category_different_cve,1500,747,0.498
CVEfixes,44,mddc_strict_gate,same_category_different_cve,1500,225,0.15
CVEfixes,44,risk_score_tuned,same_category_different_cve,1500,737,0.49133333333333334
CVEfixes,44,coverage_only_tuned,same_category_different_cve,1500,83,0.05533333333333333
CVEfixes,44,random_at_mddc_recall,same_category_different_cve,1500,749,0.49933333333333335
CVEfixes,45,mddc_strict_gate,same_category_different_cve,1500,183,0.122
CVEfixes,45,risk_score_tuned,same_category_different_cve,1500,734,0.48933333333333334
CVEfixes,45,coverage_only_tuned,same_category_different_cve,1500,74,0.04933333333333333
CVEfixes,45,random_at_mddc_recall,same_category_different_cve,1500,773,0.5153333333333333
CVEfixes,46,mddc_strict_gate,same_category_different_cve,1500,206,0.13733333333333334
CVEfixes,46,risk_score_tuned,same_category_different_cve,1500,728,0.48533333333333334
CVEfixes,46,coverage_only_tuned,same_category_different_cve,1500,79,0.05266666666666667
CVEfixes,46,random_at_mddc_recall,same_category_different_cve,1500,748,0.49866666666666665
CVEfixes,47,mddc_strict_gate,same_category_different_cve,1500,226,0.15066666666666667
CVEfixes,47,risk_score_tuned,same_category_different_cve,1500,743,0.49533333333333335
CVEfixes,47,coverage_only_tuned,same_category_different_cve,1500,75,0.05
CVEfixes,47,random_at_mddc_recall,same_category_different_cve,1500,745,0.49666666666666665
CVEfixes,48,mddc_strict_gate,same_category_different_cve,1500,208,0.13866666666666666
CVEfixes,48,risk_score_tuned,same_category_different_cve,1500,744,0.496
CVEfixes,48,coverage_only_tuned,same_category_different_cve,1500,82,0.05466666666666667
CVEfixes,48,random_at_mddc_recall,same_category_different_cve,1500,718,0.4786666666666667
CVEfixes,49,mddc_strict_gate,same_category_different_cve,1500,218,0.14533333333333334
CVEfixes,49,risk_score_tuned,same_category_different_cve,1500,726,0.484
CVEfixes,49,coverage_only_tuned,same_category_different_cve,1500,67,0.04466666666666667
CVEfixes,49,random_at_mddc_recall,same_category_different_cve,1500,760,0.5066666666666667
CVEfixes,50,mddc_strict_gate,same_category_different_cve,1500,188,0.12533333333333332
CVEfixes,50,risk_score_tuned,same_category_different_cve,1500,711,0.474
CVEfixes,50,coverage_only_tuned,same_category_different_cve,1500,69,0.046
CVEfixes,50,random_at_mddc_recall,same_category_different_cve,1500,734,0.48933333333333334
CVEfixes,51,mddc_strict_gate,same_category_different_cve,1500,219,0.146
CVEfixes,51,risk_score_tuned,same_category_different_cve,1500,722,0.48133333333333334
CVEfixes,51,coverage_only_tuned,same_category_different_cve,1500,74,0.04933333333333333
CVEfixes,51,random_at_mddc_recall,same_category_different_cve,1500,683,0.4553333333333333
CVEfixes,52,mddc_strict_gate,same_category_different_cve,1500,200,0.13333333333333333
CVEfixes,52,risk_score_tuned,same_category_different_cve,1500,746,0.49733333333333335
CVEfixes,52,coverage_only_tuned,same_category_different_cve,1500,72,0.048
CVEfixes,52,random_at_mddc_recall,same_category_different_cve,1500,747,0.498
CVEfixes,53,mddc_strict_gate,same_category_different_cve,1500,224,0.14933333333333335
CVEfixes,53,risk_score_tuned,same_category_different_cve,1500,724,0.4826666666666667
CVEfixes,53,coverage_only_tuned,same_category_different_cve,1500,78,0.052
CVEfixes,53,random_at_mddc_recall,same_category_different_cve,1500,744,0.496
CVEfixes,54,mddc_strict_gate,same_category_different_cve,1500,212,0.14133333333333334
CVEfixes,54,risk_score_tuned,same_category_different_cve,1500,726,0.484
CVEfixes,54,coverage_only_tuned,same_category_different_cve,1500,67,0.04466666666666667
CVEfixes,54,random_at_mddc_recall,same_category_different_cve,1500,745,0.49666666666666665
CVEfixes,55,mddc_strict_gate,same_category_different_cve,1500,224,0.14933333333333335
CVEfixes,55,risk_score_tuned,same_category_different_cve,1500,716,0.47733333333333333
CVEfixes,55,coverage_only_tuned,same_category_different_cve,1500,99,0.066
CVEfixes,55,random_at_mddc_recall,same_category_different_cve,1500,749,0.49933333333333335
CVEfixes,56,mddc_strict_gate,same_category_different_cve,1500,204,0.136
CVEfixes,56,risk_score_tuned,same_category_different_cve,1500,747,0.498
CVEfixes,56,coverage_only_tuned,same_category_different_cve,1500,79,0.05266666666666667
CVEfixes,56,random_at_mddc_recall,same_category_different_cve,1500,722,0.48133333333333334
CVEfixes,57,mddc_strict_gate,same_category_different_cve,1500,204,0.136
CVEfixes,57,risk_score_tuned,same_category_different_cve,1500,766,0.5106666666666667
CVEfixes,57,coverage_only_tuned,same_category_different_cve,1500,62,0.04133333333333333
CVEfixes,57,random_at_mddc_recall,same_category_different_cve,1500,705,0.47
CVEfixes,58,mddc_strict_gate,same_category_different_cve,1500,212,0.14133333333333334
CVEfixes,58,risk_score_tuned,same_category_different_cve,1500,754,0.5026666666666667
CVEfixes,58,coverage_only_tuned,same_category_different_cve,1500,78,0.052
CVEfixes,58,random_at_mddc_recall,same_category_different_cve,1500,741,0.494
CVEfixes,59,mddc_strict_gate,same_category_different_cve,1500,203,0.13533333333333333
CVEfixes,59,risk_score_tuned,same_category_different_cve,1500,751,0.5006666666666667
CVEfixes,59,coverage_only_tuned,same_category_different_cve,1500,67,0.04466666666666667
CVEfixes,59,random_at_mddc_recall,same_category_different_cve,1500,773,0.5153333333333333
CVEfixes,60,mddc_strict_gate,same_category_different_cve,1500,195,0.13
CVEfixes,60,risk_score_tuned,same_category_different_cve,1500,696,0.464
CVEfixes,60,coverage_only_tuned,same_category_different_cve,1500,74,0.04933333333333333
CVEfixes,60,random_at_mddc_recall,same_category_different_cve,1500,764,0.5093333333333333
CVEfixes,61,mddc_strict_gate,same_category_different_cve,1500,216,0.144
CVEfixes,61,risk_score_tuned,same_category_different_cve,1500,764,0.5093333333333333
CVEfixes,61,coverage_only_tuned,same_category_different_cve,1500,72,0.048
CVEfixes,61,random_at_mddc_recall,same_category_different_cve,1500,757,0.5046666666666667
CVEfixes,62,mddc_strict_gate,same_category_different_cve,1500,212,0.14133333333333334
CVEfixes,62,risk_score_tuned,same_category_different_cve,1500,755,0.5033333333333333
CVEfixes,62,coverage_only_tuned,same_category_different_cve,1500,72,0.048
CVEfixes,62,random_at_mddc_recall,same_category_different_cve,1500,696,0.464
CVEfixes,63,mddc_strict_gate,same_category_different_cve,1500,216,0.144
CVEfixes,63,risk_score_tuned,same_category_different_cve,1500,753,0.502
CVEfixes,63,coverage_only_tuned,same_category_different_cve,1500,88,0.058666666666666666
CVEfixes,63,random_at_mddc_recall,same_category_different_cve,1500,742,0.49466666666666664
CVEfixes,64,mddc_strict_gate,same_category_different_cve,1500,211,0.14066666666666666
