mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
any_deranged,139,1500,1205,512,100
cross_category,139,1500,1194,526,100
same_category_different_cve,139,1500,1229,959,204
any_deranged,140,1500,1223,551,101
cross_category,140,1500,1205,509,97
same_category_different_cve,140,1500,1249,996,199
any_deranged,141,1500,1223,537,88
cross_category,141,1500,1190,513,98
same_category_different_cve,141,1500,1243,997,172
any_deranged,142,1500,1206,553,110
cross_category,142,1500,1199,525,90
same_category_different_cve,142,1500,1220,935,203
any_deranged,143,1500,1230,533,96
cross_category,143,1500,1199,502,89
same_category_different_cve,143,1500,1210,950,194
any_deranged,144,1500,1200,539,97
cross_category,144,1500,1207,514,96
same_category_different_cve,144,1500,1220,954,201
any_deranged,145,1500,1213,558,94
cross_category,145,1500,1189,471,79
same_category_different_cve,145,1500,1230,982,206
any_deranged,146,1500,1220,517,96
cross_category,146,1500,1200,484,88
same_category_different_cve,146,1500,1251,992,215
any_deranged,147,1500,1246,557,100
cross_category,147,1500,1189,513,81
same_category_different_cve,147,1500,1226,985,247
any_deranged,148,1500,1220,570,86
cross_category,148,1500,1185,492,96
same_category_different_cve,148,1500,1233,972,215
any_deranged,149,1500,1208,551,102
cross_category,149,1500,1206,516,95
same_category_different_cve,149,1500,1204,962,205
any_deranged,150,1500,1207,547,101
cross_category,150,1500,1224,489,94
same_category_different_cve,150,1500,1239,1002,202
any_deranged,151,1500,1234,567,99
cross_category,151,1500,1226,501,80
same_category_different_cve,151,1500,1247,997,210
any_deranged,152,1500,1236,556,93
cross_category,152,1500,1212,534,88
same_category_different_cve,152,1500,1248,990,223
any_deranged,153,1500,1211,539,93
cross_category,153,1500,1194,473,90
same_category_different_cve,153,1500,1246,1001,230
any_deranged,154,1500,1203,542,95
cross_category,154,1500,1199,521,91
same_category_different_cve,154,1500,1246,975,215
any_deranged,155,1500,1227,565,94
cross_category,155,1500,1205,550,84
same_category_different_cve,155,1500,1235,982,212
any_deranged,156,1500,1235,555,106
cross_category,156,1500,1215,507,80
same_category_different_cve,156,1500,1251,997,213
any_deranged,157,1500,1216,554,96
cross_category,157,1500,1213,509,96
same_category_different_cve,157,1500,1212,962,205
any_deranged,158,1500,1232,551,102
cross_category,158,1500,1200,521,98
same_category_different_cve,158,1500,1231,992,198
any_deranged,159,1500,1226,543,95
cross_category,159,1500,1204,495,99
same_category_different_cve,159,1500,1223,948,193
any_deranged,160,1500,1219,535,102
cross_category,160,1500,1178,530,96
same_category_different_cve,160,1500,1221,980,179
any_deranged,161,1500,1228,560,108
cross_category,161,1500,1195,518,95
same_category_different_cve,161,1500,1239,995,210
any_deranged,162,1500,1228,551,100
cross_category,162,1500,1174,483,74
same_category_different_cve,162,1500,1250,1010,226
any_deranged,163,1500,1201,544,102
cross_category,163,1500,1163,479,84
same_category_different_cve,163,1500,1227,985,220
any_deranged,164,1500,1230,552,100
cross_category,164,1500,1188,522,94
same_category_different_cve,164,1500,1218,946,183
any_deranged,165,1500,1196,517,101
cross_category,165,1500,1189,518,89
same_category_different_cve,165,1500,1224,985,204
any_deranged,166,1500,1230,540,98
cross_category,166,1500,1213,529,98
same_category_different_cve,166,1500,1229,997,218
any_deranged,167,1500,1223,551,122
cross_category,167,1500,1222,534,98
same_category_different_cve,167,1500,1243,989,209
any_deranged,168,1500,1216,576,118
cross_category,168,1500,1207,509,76
same_category_different_cve,168,1500,1260,989,236
any_deranged,169,1500,1232,567,96
cross_category,169,1500,1215,529,94
same_category_different_cve,169,1500,1244,979,212
any_deranged,170,1500,1200,533,95
cross_category,170,1500,1181,480,85
same_category_different_cve,170,1500,1243,988,194
any_deranged,171,1500,1228,574,94
cross_category,171,1500,1192,543,94
same_category_different_cve,171,1500,1214,955,204
any_deranged,172,1500,1259,558,95
cross_category,172,1500,1198,513,102
same_category_different_cve,172,1500,1201,949,191
any_deranged,173,1500,1226,544,103
cross_category,173,1500,1214,505,93
same_category_different_cve,173,1500,1245,1002,216
any_deranged,174,1500,1223,535,94
cross_category,174,1500,1175,485,104
same_category_different_cve,174,1500,1222,958,174
any_deranged,175,1500,1205,527,92
cross_category,175,1500,1186,486,101
same_category_different_cve,175,1500,1209,951,204
any_deranged,176,1500,1230,534,110
cross_category,176,1500,1205,488,102
same_category_different_cve,176,1500,1264,1015,223
any_deranged,177,1500,1219,567,92
cross_category,177,1500,1196,519,89
same_category_different_cve,177,1500,1234,997,213
any_deranged,178,1500,1214,505,96
cross_category,178,1500,1190,505,85
same_category_different_cve,178,1500,1236,981,213
any_deranged,179,1500,1214,535,91
cross_category,179,1500,1207,492,98
same_category_different_cve,179,1500,1235,989,246
any_deranged,180,1500,1233,551,96
cross_category,180,1500,1195,534,89
same_category_different_cve,180,1500,1195,959,187
any_deranged,181,1500,1225,548,112
cross_category,181,1500,1191,502,100
same_category_different_cve,181,1500,1228,961,191
any_deranged,182,1500,1243,571,100
cross_category,182,1500,1203,498,79
same_category_different_cve,182,1500,1229,957,201
